Date de Scoring,Identifiant Bloomberg Company,ISSUER_EQUITY_TICKER,Nom de l'émetteur,Identifiant sous industrie GICS,Groupe Industrie GICS,Pays,Score ESG brut
2 avr. 2025,100001,AIR US,AAR Corp.,20101010,Capital Goods,US,10.66270026
2 avr. 2025,100002,ABT US,Abbott Laboratories,35101010,Healthcare Equipment & Services,US,13.71429566
2 avr. 2025,100010,AMD US,Advanced Micro Devices Inc.,45301020,Semiconductors & Semiconductor Equipment,US,15.35888291
2 avr. 2025,100012,AGN NA,Aegon Ltd,40301020,Insurance,NL,12.38613132
2 avr. 2025,10001272,KMDA IT,Kamada Ltd.,35201010,"Pharmaceuticals, Biotechnology & Life Sciences",IL,10.81123142
2 avr. 2025,100015,AFL US,Aflac Inc.,40301020,Insurance,US,10.71930395
2 avr. 2025,100019,APD US,Air Products & Chemicals Inc.,15101040,Materials,US,11.67893588
2 avr. 2025,10002189,4188 JP,Mitsubishi Chemical Group Corp.,15101020,Materials,JP,9.713988289
2 avr. 2025,10002321,LDOS US,Leidos Holdings Inc,20202020,Commercial & Professional Services,US,11.68880378
2 avr. 2025,100024,ALK US,Alaska Air Group Inc.,20302010,Transportation,US,10.18828831
2 avr. 2025,100025,AIN US,Albany International Corp.,20106020,Capital Goods,US,13.33220005
2 avr. 2025,100029,ALU FP,,,,,10.61321413
2 avr. 2025,100033,ALX US,Alexander's Inc,60101070,Real Estate,US,8.897445133
2 avr. 2025,100034,Y US,Alleghany Corp.,40301050,Insurance,US,9.496525532
2 avr. 2025,100041,ALBK ID,Allied Irish Banks Plc,40101015,Banks,IE,11.93287019
2 avr. 2025,10004206,FF US,FutureFuel Corp,10102030,Energy,US,5.722544946
2 avr. 2025,100043,HON US,Honeywell International Inc,20105010,Capital Goods,US,12.97293798
2 avr. 2025,100055,ABX CN,Barrick Gold Corp.,15104030,Materials,CA,13.36783962
2 avr. 2025,100056,ABM US,ABM Industries Inc.,20201050,Commercial & Professional Services,US,14.20027874
2 avr. 2025,10005604,ET US,Energy Transfer LP,10102040,Energy,US,5.772611209
2 avr. 2025,100060,AEP US,American Electric Power Co. Inc.,55101010,Utilities,US,11.98901338
2 avr. 2025,100061,AXP US,American Express Co.,40202010,Diversified Financials,US,12.47036973
2 avr. 2025,100067,AIG US,American International Group Inc.,40301030,Insurance,US,10.25894843
2 avr. 2025,100070,2789Q US,,,,,10.07789744
2 avr. 2025,100071,IEP US,Icahn Enterprises LP,20105010,Capital Goods,US,2.755781224
2 avr. 2025,100078,HES US,Hess Corp.,10102020,Energy,US,13.85257275
2 avr. 2025,100090,AAL US,American Airlines Group Inc.,20302010,Transportation,US,13.05155739
2 avr. 2025,100097,ADI US,Analog Devices Inc.,45301020,Semiconductors & Semiconductor Equipment,US,14.79848653
2 avr. 2025,10009891,EFGN SW,EFG International AG,40203010,Diversified Financials,CH,12.91065539
2 avr. 2025,10009923,8975 JP,Ichigo Office REIT Investment Corp,60101040,Real Estate,JP,4.334924402
2 avr. 2025,100109,ADM US,Archer-Daniels-Midland Co.,30202010,"Food, Beverage & Tobacco",US,13.91761544
2 avr. 2025,100115,ARW US,Arrow Electronics Inc.,45203030,Technology Hardware & Equipment,US,11.55105437
2 avr. 2025,100131,ATO US,Atmos Energy Corp.,55102010,Utilities,US,9.798372471
2 avr. 2025,10013216,617520Z IM,Evoca SpA,20106020,Capital Goods,IT,12.77164617
2 avr. 2025,100133,REX US,REX American Resources Corp.,10102030,Energy,US,4.837824981
2 avr. 2025,10013378,002075 CH,Jiangsu Shagang Co. Ltd.,15104050,Materials,CN,4.713515631
2 avr. 2025,10013546,FORTH TB,Forth Corp Public Co Ltd,45203020,Technology Hardware & Equipment,TH,2.609571907
2 avr. 2025,10013570,8976 JP,Daiwa Office Investment Corp,60101040,Real Estate,JP,8.778867168
2 avr. 2025,100137,ADP US,Automatic Data Processing Inc,20202010,Commercial & Professional Services,US,10.2765236
2 avr. 2025,100138,AZO US,AutoZone Inc.,25504050,Retailing,US,10.02904064
2 avr. 2025,100141,AVY US,Avery Dennison Corp.,15103020,Materials,US,12.77775502
2 avr. 2025,100142,AVT US,Avnet Inc.,45203030,Technology Hardware & Equipment,US,12.51648157
2 avr. 2025,100149,BALL US,Ball Corp.,15103010,Materials,US,12.46826926
2 avr. 2025,100155,BBVA SM,Banco Bilbao Vizcaya Argentaria SA,40101010,Banks,ES,11.26126374
2 avr. 2025,10015619,GODPI IN,Godawari Power & Ispat Ltd,15104050,Materials,IN,7.020352722
2 avr. 2025,100157,BCP PL,Banco Comercial Português SA,40101010,Banks,PT,8.021223977
2 avr. 2025,100158,SAN SM,Banco Santander S.A.,40101010,Banks,ES,10.85115598
2 avr. 2025,100159,BOH US,Bank of Hawaii Corp.,40101015,Banks,US,10.59305532
2 avr. 2025,100164,BK US,The Bank of New York Mellon Corp.,40203010,Diversified Financials,US,16.52215546
2 avr. 2025,100169,BARC LN,Barclays PLC,40101010,Banks,GB,8.193887905
